#,Job_ID,WeatherFile,ModelFile,@@P1_Wall_R@@,@@P2_Roof_R@@,@@P3_Roof_Abs@@,@@P4_U@@,@@P4_SHGC@@,@@P4_VT@@,@@P5_COP@@,@@P6_ClgSetp@@,@@P7_LPD@@,Message,Warnings,Errors,Hours,Minutes,Seconds,Scenario,Total_Site_Energy_GJ,EUI_MJ_m2,Electricity_EndUse_GJ,NaturalGas_EndUse_GJ,P8_PV_kW,P9_BESS_kWh,Net_EUI_kWh_m2,LCE_tCO2_m2,LCC_USD_m2
21,LHS-000021,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.3552,6.818887387,0.3,1.5,0.17,0.24,4.15,26.0,5.3,EnergyPlus Completed Successfully,8496957,12,0,2,1.73,1_Baseline,1817.53,364.81,125388.12,9344.54,30,60,92.30359404968999,4.008327262946607,1335.2418295543364
22,LHS-000022,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,0.4802,5.568887387,0.3,1.5,0.15,0.2,3.9,24.5,6.66362,EnergyPlus Completed Successfully,6753232,10,0,1,44.14,1_Baseline,1982.54,397.93,151631.38,9346.2,0,0,110.53611111111111,4.780455,1598.9890832676303
23,LHS-000023,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.9802,4.318887387,0.23,2.86184304,0.219,0.2409,4.4,24.5,6.0,EnergyPlus Completed Successfully,6826072,14,0,1,41.59,1_Baseline,1856.25,372.58,139657.72,9344.22,90,0,76.39689326018109,3.3219587888398228,1105.1392806446645
24,LHS-000024,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.1052,6.818887387,0.3,1.6,0.19,0.27,3.399288815,25.0,5.3,EnergyPlus Completed Successfully,7366672,0,0,1,47.35,1_Baseline,2020.49,405.54,152491.73,9343.16,60,60,94.58496587715777,4.110080525893216,1368.2436115993767
25,LHS-000025,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.1052,6.818887387,0.3,1.6,0.19,0.27,3.399288815,24.5,4.6,EnergyPlus Completed Successfully,6785872,16,0,1,45.24,1_Baseline,1996.72,400.77,153655.11,9343.33,120,60,75.19493175431552,3.28025105178643,1087.7519914857842
26,LHS-000026,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.3552,4.318887387,0.23,1.6,0.19,0.27,3.399288815,24.0,4.0,EnergyPlus Completed Successfully,7144074,0,0,1,35.7,1_Baseline,1960.61,393.52,148872.69,9346.58,0,150,109.3111111111111,4.739871999999999,1581.2685247341942
27,LHS-000027,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.1052,4.943887387,0.23,1.5,0.13,0.17,4.4,25.5,6.0,EnergyPlus Completed Successfully,7842718,0,0,2,1.09,1_Baseline,1810.16,363.33,130281.87,9344.1,90,120,73.82744881573664,3.217608788839823,1067.9703086641011
28,LHS-000028,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.3552,4.318887387,0.3,1.5,0.15,0.2,4.4,26.0,6.0,EnergyPlus Completed Successfully,8482799,13,0,1,47.51,1_Baseline,1800.54,361.4,124892.27,9344.8,0,90,100.38888888888889,4.352732,1452.2017809487145
29,LHS-000029,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,0.4802,4.318887387,0.37,1.6,0.19,0.27,3.399288815,24.0,6.0,EnergyPlus Completed Successfully,7208630,6,0,1,44.27,1_Baseline,2118.89,425.29,166581.73,9346.02,0,120,118.13611111111112,5.11955,1708.928874985276
30,LHS-000030,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.7302,4.943887387,0.3,2.86184304,0.219,0.2409,4.15,24.0,4.6,EnergyPlus Completed Successfully,7189311,15,0,1,40.16,1_Baseline,1869.72,375.28,142424.67,9347.49,60,150,86.1794103216022,3.744604525893215,1246.65084488242
31,LHS-000031,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.9802,4.318887387,0.45,1.5,0.15,0.2,3.399288815,25.5,4.6,EnergyPlus Completed Successfully,7878494,10,0,1,47.6,1_Baseline,1932.84,387.95,140307.08,9343.22,120,60,71.63382064320442,3.1251940517864303,1036.2378054543437
32,LHS-000032,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.1052,6.818887387,0.3,1.5,0.13,0.17,3.65,25.0,5.3,EnergyPlus Completed Successfully,7167006,17,0,1,41.6,1_Baseline,1924.33,386.24,144204.23,9343.46,120,30,71.15882064320442,3.1050510517864303,1029.3665684719913
33,LHS-000033,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,0.4802,4.943887387,0.37,1.5,0.13,0.17,3.65,26.0,4.6,EnergyPlus Completed Successfully,8473923,17,0,1,53.91,1_Baseline,1911.76,383.72,135797.56,9343.01,150,0,61.42630358178331,2.6863293147330394,888.5782923376411
34,LHS-000034,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.9802,6.193887387,0.23,1.5,0.13,0.17,3.399288815,25.5,4.6,EnergyPlus Completed Successfully,7778158,14,0,1,50.08,1_Baseline,1905.03,382.37,136815.61,9343.1,0,150,106.21388888888889,4.607791,1536.4648449954616
