fold_scenario,delta_t,model,eval_set,n,r2,rmse,mae,mape
2,1.879,Linear Reg,external,150,0.9720209318645069,0.9042700793097658,0.7916125956455278,0.6797866392257573
2,1.879,Linear Reg,combined,400,0.9729885309746372,0.9240431739248671,0.8024676987142004,0.6903740653840117
3,2.665,PI-HGAT,main,250,0.9791708506419801,0.8868800935007601,0.6899221489257816,0.5683809841494412
3,2.665,PI-HGAT,external,150,0.9788299198294099,0.844765554594614,0.6839704374186197,0.5664227131412733
3,2.665,PI-HGAT,combined,400,0.9790519458908987,0.8713257160735175,0.6876902571105958,0.5676466325213781
3,2.665,XGBoost,main,250,0.6727356015532525,3.5154305413656277,3.4789752878417968,2.874122387974473
3,2.665,XGBoost,external,150,0.6375879190854741,3.4952341822080877,3.4099837764485676,2.8295859967425674
3,2.665,XGBoost,combined,400,0.6604765808454522,3.507870533194937,3.453103471069336,2.857421241262508
3,2.665,ANN (MLP),main,250,0.9592236197547009,1.240890544230659,0.9826337946777342,0.8132945130638505
3,2.665,ANN (MLP),external,150,0.9282022612274673,1.5557160387094282,1.214670173339843,1.001853528569396
3,2.665,ANN (MLP),combined,400,0.9484037026763431,1.367470470115286,1.0696474366760251,0.8840041438784301
3,2.665,Linear Reg,main,250,0.9751378451305718,0.9689436561471445,0.8348929399953342,0.6965064836414552
3,2.665,Linear Reg,external,150,0.9716955389740601,0.9767926668394313,0.8333769604058365,0.6949125922196678
3,2.665,Linear Reg,combined,400,0.9739372139112781,0.9718944635294027,0.8343244476492727,0.695908774358285
4,2.179,PI-HGAT,main,250,0.9803321480261712,0.8265282039238799,0.6528674748535155,0.5531852184031136
4,2.179,PI-HGAT,external,150,0.9770807570230212,0.8403561846814983,0.662715774739583,0.5634686368676114
4,2.179,PI-HGAT,combined,400,0.9792027240642095,0.8317406379699673,0.6565605873107907,0.5570415003273004
4,2.179,XGBoost,main,250,0.8920467199620596,1.936409182718104,1.9003840095214846,1.6108369762887393
4,2.179,XGBoost,external,150,0.8610205403924605,2.0693720338813,1.9061857727050786,1.6079719285958014
4,2.179,XGBoost,combined,400,0.8812692614319162,1.9873130244882493,1.9025596707153323,1.6097625834038878
4,2.179,ANN (MLP),main,250,0.9441426623296505,1.392898043241949,1.097556920166016,0.9289125777505035
4,2.179,ANN (MLP),external,150,0.9109269514784218,1.6566715890130026,1.2917758902994794,1.0965997509487648
4,2.179,ANN (MLP),combined,400,0.9326046289124813,1.4972686405528925,1.1703890339660648,0.9917952676998514
4,2.179,Linear Reg,main,250,0.9757215208777872,0.9183113479681009,0.7969845137600725,0.6781837265169921
4,2.179,Linear Reg,external,150,0.9741365910438254,0.8927012641175345,0.7781267033777985,0.661901127988978
4,2.179,Linear Reg,combined,400,0.9751709707125519,0.9087921448209489,0.7899128348667197,0.6720777520689869
5,4.472,PI-HGAT,main,250,0.8868788239161518,2.434597662146772,1.976383219726563,1.5022884930541767
5,4.472,PI-HGAT,external,150,0.8697838385962724,2.5117537755809884,1.9962816687011715,1.512392513270266
5,4.472,PI-HGAT,combined,400,0.8807792564192598,2.4638143692780687,1.9838451380920412,1.5060775006352105
5,4.472,XGBoost,main,250,-0.8170286300774197,9.757445404493671,9.682438796142579,7.207150119074675
5,4.472,XGBoost,external,150,-1.0053607390413917,9.856911865847632,9.681373736979166,7.190507136505954
5,4.472,XGBoost,combined,400,-0.884224525346341,9.79486369673946,9.682039398956299,7.200909000611405
5,4.472,ANN (MLP),main,250,0.9335486752436627,1.8659803519025002,1.4725284770507814,1.0837132073585969
5,4.472,ANN (MLP),external,150,0.9126572610217221,2.0571124033456827,1.6176540543619786,1.190537495513135
5,4.472,ANN (MLP),combined,400,0.9260942926198681,1.9398630005887931,1.5269505685424805,1.1237723154165487
5,4.472,Linear Reg,main,250,0.7614899065396363,3.535156349281279,2.970007383151168,2.161878160117572
5,4.472,Linear Reg,external,150,0.7316032354851059,3.6060625650148252,3.017064013765918,2.199798933774965
5,4.472,Linear Reg,combined,400,0.7508263399640362,3.56191159592926,2.9876536196317,2.176098450239094
6,1.27,PI-HGAT,main,250,0.9686236038098618,0.9710247916595329,0.7809003278808595,0.6927098456281326
6,1.27,PI-HGAT,external,150,0.9621100943706947,1.0017491262408575,0.7850611035156251,0.6977679782639662
6,1.27,PI-HGAT,combined,400,0.9663706654982614,0.9826589989576854,0.7824606187438967,0.6946066453665702
6,1.27,XGBoost,main,250,0.8806425297431872,1.8938849411718575,1.868532780517578,1.6556651572432892
6,1.27,XGBoost,external,150,0.8508441405434395,1.9875468290156297,1.8997358577473953,1.6886723338366174
6,1.27,XGBoost,combined,400,0.8703356378253838,1.929541009041331,1.8802339344787595,1.6680428484657874
6,1.27,ANN (MLP),main,250,0.9095440733128988,1.648721501316804,1.283640561279297,1.14216992950289
6,1.27,ANN (MLP),external,150,0.8501555343744376,1.9921294884087821,1.6138418802897139,1.4386951270057153
6,1.27,ANN (MLP),combined,400,0.889002218516519,1.7852574268255121,1.4074660559082033,1.2533668785664496
6,1.27,Linear Reg,main,250,0.9771482205589499,0.8286837066938153,0.6761459156860763,0.6067996992606115
6,1.27,Linear Reg,external,150,0.9760749616270699,0.7960191797400915,0.6605020582327548,0.5897294078915857
6,1.27,Linear Reg,combined,400,0.9767770060365184,0.8165876432019766,0.6702794691410807,0.6003983399972268
7,1.875,PI-HGAT,main,250,0.9761808508192072,0.8888479941123867,0.7050230019531253,0.603081619276302
7,1.875,PI-HGAT,external,150,0.9745472235430757,0.8649228682043646,0.681369643147786,0.5871721806818955
7,1.875,PI-HGAT,combined,400,0.9756137968553322,0.8799523060240724,0.696152992401123,0.5971155798033996
7,1.875,XGBoost,main,250,0.9938416414348475,0.45195673264556463,0.37439881616210946,0.3219257132197954
