n_per_scenario,n_train,seed,model,r2_test,rmse,mae
150,900,42,PI-HGAT,0.9716439247131348,1.0347902046645385,0.8401158452033997
150,900,42,XGBoost,0.6626664022463857,3.5691018306607853,3.459651484130859
150,900,42,ANN (MLP),0.8457294937578128,2.4136294279594757,1.865032082763672
150,900,42,Linear Reg,0.9705186848950649,1.055121727480557,0.9282158387264142
150,900,43,PI-HGAT,0.9588021039962769,1.2472879552947915,1.009892225265503
150,900,43,XGBoost,0.6626664022463857,3.5691018306607853,3.459651484130859
150,900,43,ANN (MLP),0.9345913112780736,1.5716175190777422,1.2040821496582026
150,900,43,Linear Reg,0.9705186848950649,1.055121727480557,0.9282158387264142
150,900,44,PI-HGAT,0.9698404669761658,1.0671896380155936,0.8695066571235657
150,900,44,XGBoost,0.6626664022463857,3.5691018306607853,3.459651484130859
150,900,44,ANN (MLP),0.9217245725807964,1.7192612064394706,1.2890780864257816
150,900,44,Linear Reg,0.9705186848950649,1.055121727480557,0.9282158387264142
200,1200,42,PI-HGAT,0.9792034029960632,0.8861865492517746,0.716383695602417
200,1200,42,XGBoost,0.6662139735551125,3.55028498495542,3.5004294199218746
200,1200,42,ANN (MLP),0.9635716161262768,1.1728678779793236,0.9241519609374997
200,1200,42,Linear Reg,0.971426316074423,1.0387529212492759,0.913020215041041
200,1200,43,PI-HGAT,0.9677958488464355,1.1027707446941968,0.9006026387214661
200,1200,43,XGBoost,0.6662139735551125,3.55028498495542,3.5004294199218746
200,1200,43,ANN (MLP),0.9410375083379068,1.4921657038420018,1.2106787395019531
200,1200,43,Linear Reg,0.971426316074423,1.0387529212492759,0.913020215041041
200,1200,44,PI-HGAT,0.9754273891448975,0.9632850133322707,0.7755363583564758
200,1200,44,XGBoost,0.6662139735551125,3.55028498495542,3.5004294199218746
200,1200,44,ANN (MLP),0.9364681578011964,1.5489052942747799,1.202156959228516
200,1200,44,Linear Reg,0.971426316074423,1.0387529212492759,0.913020215041041
249,1500,42,PI-HGAT,0.9785348773002625,0.9003172739068536,0.7243668437004089
249,1500,42,XGBoost,0.6680055704127504,3.5407440857862627,3.514687537597656
249,1500,42,ANN (MLP),0.9704618949282062,1.0561374810060389,0.8424635681152345
249,1500,42,Linear Reg,0.9706637292479757,1.0525229942519352,0.9273643216764121
249,1500,43,PI-HGAT,0.9673096537590027,1.1110631965531592,0.891682505607605
249,1500,43,XGBoost,0.6680055704127504,3.5407440857862627,3.514687537597656
249,1500,43,ANN (MLP),0.9544516263889472,1.311491792649331,1.0164385654296877
249,1500,43,Linear Reg,0.9706637292479757,1.0525229942519352,0.9273643216764121
249,1500,44,PI-HGAT,0.9800004959106445,0.8690380250185964,0.6946045756340027
249,1500,44,XGBoost,0.6680055704127504,3.5407440857862627,3.514687537597656
249,1500,44,ANN (MLP),0.9720896904677472,1.0266241267753107,0.7741723154296876
249,1500,44,Linear Reg,0.9706637292479757,1.0525229942519352,0.9273643216764121
